feature_id	chromosome	summary_file	sample_size
IRF1.Skin_Not_Sun_Exposed_Suprapubic	5	../summary/WH_GTEx/IRF1.Skin_Not_Sun_Exposed_Suprapubic	AUTO
IRF1.Skin_Sun_Exposed_Lower_leg	5	../summary/WH_GTEx/IRF1.Skin_Sun_Exposed_Lower_leg	AUTO
ITPKA.Whole_Blood	15	../summary/WH_GTEx/ITPKA.Whole_Blood	AUTO
JAG2.Skin_Sun_Exposed_Lower_leg	14	../summary/WH_GTEx/JAG2.Skin_Sun_Exposed_Lower_leg	AUTO
KDM8.Cells_Cultured_fibroblasts	16	../summary/WH_GTEx/KDM8.Cells_Cultured_fibroblasts	AUTO
KIAA0391.Cells_EBV-transformed_lymphocytes	14	../summary/WH_GTEx/KIAA0391.Cells_EBV-transformed_lymphocytes	AUTO
KIAA0391.Skin_Not_Sun_Exposed_Suprapubic	14	../summary/WH_GTEx/KIAA0391.Skin_Not_Sun_Exposed_Suprapubic	AUTO
KIAA0391.Skin_Sun_Exposed_Lower_leg	14	../summary/WH_GTEx/KIAA0391.Skin_Sun_Exposed_Lower_leg	AUTO
KIAA1109.Skin_Not_Sun_Exposed_Suprapubic	4	../summary/WH_GTEx/KIAA1109.Skin_Not_Sun_Exposed_Suprapubic	AUTO
KIAA1109.Skin_Sun_Exposed_Lower_leg	4	../summary/WH_GTEx/KIAA1109.Skin_Sun_Exposed_Lower_leg	AUTO
KIF3A.Cells_Cultured_fibroblasts	5	../summary/WH_GTEx/KIF3A.Cells_Cultured_fibroblasts	AUTO
KIF3A.Skin_Not_Sun_Exposed_Suprapubic	5	../summary/WH_GTEx/KIF3A.Skin_Not_Sun_Exposed_Suprapubic	AUTO
KIF3A.Skin_Sun_Exposed_Lower_leg	5	../summary/WH_GTEx/KIF3A.Skin_Sun_Exposed_Lower_leg	AUTO
KIF3A.Whole_Blood	5	../summary/WH_GTEx/KIF3A.Whole_Blood	AUTO
LAYN.Cells_Cultured_fibroblasts	11	../summary/WH_GTEx/LAYN.Cells_Cultured_fibroblasts	AUTO
LCE1D.Skin_Not_Sun_Exposed_Suprapubic	1	../summary/WH_GTEx/LCE1D.Skin_Not_Sun_Exposed_Suprapubic	AUTO
LCE1D.Skin_Sun_Exposed_Lower_leg	1	../summary/WH_GTEx/LCE1D.Skin_Sun_Exposed_Lower_leg	AUTO
LCE1E.Skin_Not_Sun_Exposed_Suprapubic	1	../summary/WH_GTEx/LCE1E.Skin_Not_Sun_Exposed_Suprapubic	AUTO
LIME1.Skin_Not_Sun_Exposed_Suprapubic	20	../summary/WH_GTEx/LIME1.Skin_Not_Sun_Exposed_Suprapubic	AUTO
LIME1.Skin_Sun_Exposed_Lower_leg	20	../summary/WH_GTEx/LIME1.Skin_Sun_Exposed_Lower_leg	AUTO
LIME1.Whole_Blood	20	../summary/WH_GTEx/LIME1.Whole_Blood	AUTO
